committee,name,party,rank,title,thomas,bioguide,chamber
SSHR11,Christopher Murphy,minority,5,,01837,M001169,
SSHR11,Elizabeth Warren,minority,6,,02182,W000817,
SSHR11,Patty Murray,minority,7,Ex Officio,01409,M001111,
SSHR12,Michael B. Enzi,majority,1,Chairman,01542,E000285,
SSHR12,Richard Burr,majority,2,,00153,B001135,
SSHR12,Susan M. Collins,majority,3,,01541,C001035,
SSHR12,Bill Cassidy,majority,4,,01925,C001075,
SSHR12,Todd Young,majority,5,,02019,Y000064,
SSHR12,Orrin G. Hatch,majority,6,,01351,H000338,
SSHR12,Pat Roberts,majority,7,,00968,R000307,
SSHR12,Tim Scott,majority,8,,02056,S001184,
SSHR12,Lisa Murkowski,majority,9,,01694,M001153,
SSHR12,Lamar Alexander,majority,10,Ex Officio,01695,A000360,
SSHR12,Bernard Sanders,minority,1,Ranking Member,01010,S000033,
SSHR12,Michael F. Bennet,minority,2,,01965,B001267,
SSHR12,Sheldon Whitehouse,minority,3,,01823,W000802,
SSHR12,Tammy Baldwin,minority,4,,01558,B001230,
SSHR12,Christopher Murphy,minority,5,,01837,M001169,
SSHR12,Elizabeth Warren,minority,6,,02182,W000817,
SSHR12,Tim Kaine,minority,7,,02176,K000384,
